spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
GEMCO	Uherské Hradiště	1995	2	2	Vývoj softwaru, školení	s.r.o.	1	2	1	2		4	4	5	4	5	5	3	5	1		3	1		3	3		3	2		3	3		4	3		3					2		3	2		3	3		4	3		5					1		5	5	5	5	4	5	5	4	5		4	5	5	5	4	3	4	4	4	5	5	5	4			0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0		2	1	0	0	0	1	0	0	0	1		0	1	2	1	1	1	1	1	1	1	1	0	0	0	0		2	5	4	3	2			1	1	
Geodézie Kroměříž	Kroměříž	2000	2	2	Ostatní inženýrské činnosti a související technické poradenství j. n.	s.r.o.	2	1	1	2		3	4	4	3	5	5		4	3		4	3		5		2			1			2			2						3		5		2		3		4	3		4					1		5	5	3	3	4	3	4	5	5	5	5	5	5	4	3	1	3	1	5	3	4	3	5			0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	0	0	0	1	1	0		0	1	3	1	1	0	1	1	1	1	0	0	0	0	0		1	1	2	5	4	5	podhodnocené ceny konkurence při veřejné soutěži o zakázku	2	1	zvýšená kontrola nákladvých položek s cílem jejich minimalizace, úsporný režim-zamezení plýtvání, zvýšené sledování pohledávek-prověřování , apel na včasné platby...
GG Archico	Uherské Hradiště	1992	2	2	Architektonické činnosti;  Inženýrské činnosti a související technické poradenství	s.r.o.	2	2	1	2		4	3	3	2	5	3	1	5	3		3		2		3		3	3		4		2			2		1		3	ISO 9001		2			2			1			2						1		4	5	5	4	3	1	1	3	4	4	2	5	5	5	4	1	3	1	4	2	5	1	4			0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	0	0	0	0	0	1	výpočet honoráře architekta/inženýra	0	2	3	1	1	1	0	0	1	1	0	0	0	0	0		5	1	2	3	4			2	2	
Gist	Olomouc	1994	2	2	Logistika	s.r.o.	1	3	3	2		5	5	4	3	4	4	4	3	3		4	3		4		2		3		4		2			2			2				2			2			2			2						1		4	4	2	3	2	4	1	4	4	5	3	1	2	4	5	4	3	1	5	4	3	1	1			0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0		2	1	0	0	0	1	0	1	0	0		0	1	3							1	0	0	0	0	0		1	4	1	5	1			2	2	
GMC Software Technology	Hradec Králové	1998	2	2	Programování;  Poradenství v oblasti informačních technologií	s.r.o.	1	3	3	2		5	5	3	4	4	4	1	1	1		2	3		3		1			1			2			2			2				2			2			2			2			2			1		5	2	5	5	5	3	5	2	3	3	3	3	2	2	4	2	2	2	5	3	5	5	5			0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0		1	1	0	0	0	0	0	0	0	0		0	1	1	1	1	1	1		1	1	0	0	0	0	0		1	2	1	3	1			1	2	
Gold Office	Olomouc	1997	2	2	Zastupování médií při prodeji reklamního času a prostoru;  Bezpečnostní a pátrací činnosti	s.r.o.	2	2	1	2		5	2	2	3		4	3	3	2		4		2			2		2		4		2			1							1			2			2		2		4					1		5	5	3	3	3	3	3	5	5	5	3	5	5	5	3	3	3	1	5	5	5	3	4			1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0		1	0	0	0	1	1	0	0	1	0		0	3	3	0	1	1	0	0	1	1	0	0	0	0	0		2	2	5	5	3			1	2	
Gorenje-real	Praha	1993	2	2	prodej bílé techniky a kuchyňského zboží	S.r.o.	1	3	3	3		5	5	3	5	3	5	3	1	2		4	2		5	1	2	4	2		3		2			2			2				1			2			2			2			2			1		5	5	5	5	5	3	3	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	3			1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0		1	1	1	0	1	1	0	0	0	0		0	1	3	1	1	1	1	0	1	1	0	0	0	0	0		1	5	3	5	3	5	makroekonomické faktory (vývoj HDP, inflace, spotřeba domácností...)	2	2	
Graspo CZ	Šternberk	1996	2	2	polygrafická výroba	a.s.	2	3	4	1			4	5	3	5	5	3	3	3		4	2		4		2		2		4		2			2		2		3			2			2			2			2						3		4	5	4	3	3	3	3	4	4	4	4	5	5	5	4	5	5	5	4	4	4	3	3			0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0		1	1	0	0	1	1	0	0	0	0		0	1	3	0	1	1		1	1	1	1	0	0	0	1	oborový polygrafický IS		5		5				1	1	
Greiner Packaging Slušovice	Slušovice	1992	2	2	Výroba plastových obalů	s.r.o.	1	4	4	1		5	3	3	5	3	4	4	3	3		4	3		4		1		3		3		2			2		3		2	ISO, modul v SAP	3		3		2			1			1			1		monitoring	1		4	5	5	4	5	4	5	3	5	4	5	5	5	5	5	4	5	5	5	4	4		4	5	kultura vlastníků	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	příspěvek na úhradu FN a zisku	1	0	0	0	1	0	0	0	1	0		0	3	3	0	1	0	1	1	1	1	1	0	0	0	0		4	3	3	4	2	5	kupní síla obyvatel	1	2	
Greiner Packaging Slušovice s.r.o., business unit Greiner Assistec	Slušovice	1987	1	1	Výroba plastových výrobků	s.r.o.	1	4	4	1		4	5	3	4	4	4	3	5							1		5	3																													1		4	5	4	4	3	4	4	4	5	2	4	5	5	4	5	5	4	5	5	4	4	4	5			1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0		2	1	0	0	1	1	1	1	0	0		0	1		1	1	1	1	1	1	1	0	0	0	0	0		4	5	1	5	1			1	2	
Groz - Beckert	Lužice	1992	2	2	výroba průmyslových pletacích a strojně šicích jehel	s.r.o.	1	4	4	1		4	4	2	4	1	2	3	5	3		4	2		3		1		3		4		1			2							2			1			1			2						1		4	3	2	3	4	4	3	5	4	4	5	3	4	3	4	2	2	3	4	2	3	2	2			1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		1	1	0	0	1	1	0	1	0	0		0	3	3	0	1	0	1			0	0	0	0	0	0		2	2	3	4	2			2	2	
GUMOTEX,a.s.	Břeclav	1950	1	1	"2221	Výroba plastových desek,folií,hadic,trubek a profilů	Sedáky,opěrky,clony"	a.s.	2	4	4	1		5	5	3	5	3	4	4	1	3		3	3		4		1		3		5		2					3		3		3		3	1		3											1		5	5	4	4	3	4	4	5	5	4	4	5	5	4	4	4	5	4	5	4	5	4	4			0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0		1	0	0	0	1	0	0	0	1	0		0	1	1	1	1	1	1	1	1	1	0	0	1	0	0		4			5				1	1	
H & M	Znojmo	1992	2	2	Ostatní kompletační a dokončovací práce	s.r.o.	2	3	4	1		5	5	4	4	5	5	4	4	3		5	2		4		1		3		4		2			1			1			2		5		1			2			2			1			1		5	5	4	3	4	4	5	5	4	4	4	5	5	5	4	4	4	3	4	3	3	5	3			1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0		1	1	0	0	1	0	0	1	1	0		0	3	1	0	1	1	1	1	0	1	1	0	1	0	0		4	2	4	3	3			1	2	
H&B REAL	Vsetín	1992	2	2		a.s.	2	2	1	2		3	4	3	3	2	3	3	1	3		1	2		1	1		2	1		2		1			2							1			2			2			2			2			1		5	5	3	4	3	3	4	4	4	3	3	4	3	3	3	1	4	1	4	3	4	3	3			1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0		2	0	1	0	0	0	0	1	0	0		0	1	3	0	1	1	1	1	1	1	0	0	0	1	0		1	2	1	4	2			1	1	Zpřísnilo se dodržování pravidel
Haiva Tasovice, s.r.o.	Tasovice 384, 671 25 Hodinice	1991	2	2	výroba a údržba technologií na zpracování obilovin, opravy zemědělských strojů, zámečnictví a kovovýroba	s.r.o.	2	3	2	2	i služby	4	3	5	2	5	5	1	5	3		4	3		4		2		3		5		2			2			2			3		3		2			2			2						2		5	5	3	5		5	4	3	4	5	5	5	4	5	4	3	4	3	4	4	4	3	3	5	stabilita kádrů, rovné jednání vedení a zaměstnanců	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0		2	1	0	0	1	1	0	0	0	0		0	1	2	0	1	0	0	1	1	1	0	0	0	0	0		2	2	2	4	2	5	finanční krize	2	1	
Hamé, s.r.o.	Kunovice	2007	3	3	101300	s.r.o.	1	4	4	1		5	5	5	5	5	4	3	3	3		4	3		5		2		3		5		2			2			2			3		3		2			2		3		4		2			1		5	5	3	5	4	5	4	5	5	4	4	5	5	5	4	4	5	4	4	3		4	4			0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0		1	0	0	0	1	1	1	0	0	0		0	1	1	1	1	1	1	1	1	1	1	0	0	0	0		5	2	3	5	3			1	2	
Hanácká realitní kancelář	Olomouc	1992	2	2	Zprostředkovatelské činnosti realitních agentur	s.r.o.	2	2	1	2		4	5	4	3	3	5	1	1	2		2	1		2		1			1			2			2			2				1			2			2		2		3					3		5	5	4	4	4	1	3	5	5	5	5	5	5	4	3	1	4	3	3	2	4	3	3			0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0		2	0	0	0	1	1	0	1	1	0		0	1	3	0	1	1	0	1	1	1	0	0	0	0	1	Real - Estate manager - na zakázku vyrobený realitní software	1	4	1	1	4	5	úvěrová politika bank		1	důslednější sledování
HARTMANN-RICO	Veverská Býtíška	1993	2	2		a.s.	1	4	4	1		5	5	3	4	2	4	4	1	2		2	2		4	1		3	2		3	3		4	2		3	3		3		1			2		2	2		3	1		3					1		5	5	5	5	3	2	2	5	4	4	4	3	4	4	4	4	4	4	4	4	5	3	3			0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0		2	0	1	0	1	0	0	0	1	0		0	1	3	0	0	0	0	1	1	1	0	0	1	0	0		1	1	1	5	3			1	2	
Hestego s.r.o.	Vyškov	1995	2	2	25990 - Výroba ostatních kovodělných výrobků	s.r.o.	2	3	4	1		5	5	3	5	3	5	5	3	3		5	3		4		1		3		5		1			2		3		5	ISO 9001 - recertifikované, interní audity, 5S, atd.		1			2			2			1						1		5	5	5	4	4	3	4	5	5	5	5	5	5	5	5	5	5	5	4	3	5	5	5			0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0		1	0	1	0	1	0	1	0	0	0		0	1	3	0	1	1	0	0	0	1	1	0	0	0	1	controllingový software vytvořený na zakázku				5	3			2	1	Začali se zajímat o různé varianty vývoje. Důraz na variantní plánování. 
High Performance Machining	Velký Týnec	2002	3	2	Obrábění kovů	s.r.o.	1	1	1	1		3	4	4	3	5	4	3	4	2		4	2		3		2		1		3		2		1		3					2		3		1			1		1		2					3		5	5	4	4	2	5	1	3	5	4	5	5	5	5	4	3	4	5	4	3	3	1	1			0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0		2	1	0	0	0	0	0	0	1	0		0	3	3	0	0	0	0	1	1	1	0	0	0	0	0		2	2	1	5	1				2	
Hills Pet Nutrition Manufacturing, s.r. o.	Praha	2006	3	3	výroba krmiv	s.r.o.	1	3	1	1		4	5	3	3	4	4	4	4	3		4	3		4				3			3																			3							1		5	5	4	4	4	4	4	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4			1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0		2	0	1	0	0	1	0	0	0	1	budoucí CF	0	1			1			1	1	1	1	0	1	0	0		2	2	1	3	1			1	1	
HOBAS CZ	Uherské Hradiště	1992	2	2	Výroba plastových desek, fólií, hadic, trubek a profilů	s.r.o.	1	3	4	1		5	4	5	4	4	4	5	5	3		5	3		4		1		3		5		2			1		2		4			2			2			2		3		3					1		5	5	4	4	3	4	3	5	5	5	5	5	5	5	5	5	5	5	4	4	4	3	4			0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0		2	1	0	0	1	0	0	0	1	0		0	1	3	1	1	1	1	1	1	1	1	0	1	0	0		4	1	2	5	4			2	2	
Home Credit a.s.	Brno	1997	2	2	Finanční služby	a.s.	1	4	4	2	Finanční služby	4	5	3	5	4	5	5	5	3		5	3		5		1		3		5	3		5		2						1		3							3		5					1		5	5	3	3	3	3	4	5	5	5	5	5	3	3	4	3	4	4	5	5	5	5	5			0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0		1	0	1	0	1	0	0	0	0	0		0	1	2	0	0	1	1	1	1	1	1	0	1	1	0		1	3		3	3	5	Nezaměstnanost	1	1	
Hopi Popi	Olomouc	1992	2	2	výroba popcornu do mikrovlnné trouby	a.s.	2	2	3	1		4	5	5	4	4	4	2	2	3		3	3		4		2		3		3		2			2			2				2			2			2			2			2			3		5	3	1	2	4	2	5	5	3	4	4	3	2	3	5	4	4	5	3	3	3	4	4			0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0		1	0	0	0	0	0	0	0	1	0		0	1	3	0	0	0	0	0	0	1	1	0	0	0	0		1	1	3	5	1			2	2	
HRATES, a.s.	Uherské Hradiště	1999	2	2	81.29, 81.30	a.s.	2	3	1	2		5	5	4	4	5	5	5	5	3		4		1			1			1			1			1			1				1			1			1			1						1		5	5	5	5	5	5	4	3	5	5	5	5	5	5	5	5	5	5	5	4	4	3	4			0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0		1	1	0	0	0	0	1	0	0	0		0	1	3	1	1	1	1	0	1	1	0	0	0	0	0			5	1	1	5			2	2	
HUTNÍ PROJEKT Frýdek-Místek	Frýdek-Místek	1992	2	2	projekční a inženýrská činnost	a.s.	2	3	4	2		5	5	4	4	5	5	4	5	3		5	3		5		2		3		5		2		3		5	3		5	ISO, INVESTOR IN PEOPLE...a jiné	3		5		2			2			2			2			2		5	5	3	5	4	5	5	4	5	4	4	5	5	4	5	1	4	1	4	4	4	5	5			0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0		2	1	0	0	0	0	0	1	1	0		0	1	3	1	1	1	0	1	1	1	1	0	0	0	1		1	1	1	4	2			1	2	
Hydraulika Petráš s.r.o.	Podhradí u Luhačovic	1991	2	2	Kovovýroba	s.r.o.	2	2	1	1		5	4	5	3	5	5	4	4	3									3		4					1																						1		4	5		5		5	4	3	4	4	3	5	5	5	5	3	3	4	4	5	5	3	5			0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0		3	1	0	0	1	0	0	1	1	0		0	2	3	0	0	0	0	1	1	0	1	0	0	0	0		1	2	2	5	5			2	1	majitel kontaktuje osobně všechny původní odběratele a nabízí možná řešení pro obě strany
Hydroma, s.r.o.	Uherský Brod	1994	2	2	zámečniství, nástrojářství	s.r.o.	1	2	3	3		4	4	4	3	4	2	4	4	3		3		2			2		3		3		2			1			2				2			2			2			2						2		4	4	3	2	3	2	3	3	3	4	4	3	4	4	3	4	4	3	4	3	3	2	3			0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0		1	1	0	0	1	1	0	1	1	0		0	1	1	0	0	0	0	1	1	1	0	0	0	0	0		3	2	3	3	2			2	2	
Chevron	Mikulov	1993	2	2	prodej, služby, výroba	FO	2	2	2	3		3	4	5	4	4	3	3	3	1		3	2		3		2		2		3		2			2		2		5	ČSN EN ISO 9001:2001	1		3		2			2			2						1		5	5	4	5	4	4	4	5	4	5	3	4	3	3	3	4	3	4	4	4	5	4	4			1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0		1	1	0	0	1	0	0	0	0	0		0	2	2	0	0	1	0	0	1	1	0	0	0	1	0		3	1	3	2	4			2	2	
IBEROFON CZ	Uherský Brod	1993	2	2	Výroba pryžových a plastových výrobků;  Výroba ostatních plastových výrobků	a.s.	1	4	4	1		4	5	4	3	4	5	4	5	3		5	2		4	2		3	2		4		1			1							2			2			2			1						1		5	4	4	4	5	5	4	5	4	4	4	5	5	4	4	4	3	3	4	3	3	2	3			1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0		1	1	1	0	0	1	0	0	0	0		0	1	3	0	0	1	1	1	1	1	1	0	0	0	0		4	5	4	5	5			2	2	
Ideal Trade	Mysločovice	1996	2	2	Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami	s.r.o.	2	3	3	3		4	3	5	4	5	4	1	4	3		3	3		3		1		1		2		2		1		2		1				1			2			2		1		3					1		4	5	3	4	4	3	4	5	4	3	3	5	5	4	4	3	4	3	3	2	4	4	4			0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0		1	1	0	0	1	1	0	0	0	0		0	1	3	1	1	0	0	1	1	1	0	0	1	0	0		5	1	2	2	1			2	2	
IFS Czech s.r.o.	Praha	2000	2	2	vývoj, implementace a podpora ERP	s.r.o.	1	2	2	2		5	4	4	4	4	5	3	1	1		3	1		4		1	3		1		1	1	4		2			1				1			2			2			2			2			4	měření výkonnosti vychází ze strategie a je v současnosti prováděno u konkrétních činností a procesů (není významně využíváno pro tvorbu strategie)	5	4	5	5	3	1	2	5	5	5	5	5	5	4	4	1	5	4	4	3	4	3	4			0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0		1	1	0	0	0	0	1	0	0	0		0	1	3	1	0	1	0	1	1	1	1	0	0	0	0		1	1	3	4	3	4	ekonomická situace	2	1	zvýšený důraz na náklady a skladbu poskytovaných služeb
IMOS group	Zlín	2003	3	2	těžká mechanizace a doprava	s.r.o.	2	3	3	2		4	4	4	3	5	5	4	5	1		3		2			2		1		3		2			2			1				1			2			2			2						1		5	5	4	5		5	4	5	5	5	5	4	4	5	4	4	3	1	4	4	5	1	1			1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0		2	1	1	0	1	1	0	0	0	0		0	1	1	1	1	1	1	1	1	0	0	0	0	1	0		4	4	1	5	4			2	2	
Impag	Ždánice	1997	2	2	Nespecializovaný velkoobchod	s.r.o.	2	2	2	3		3	3	4	4	5	4	5	3	2		3	2		4																																	1		5	5	4	4	4	4	3	5	5	4	5	5	4	3	3	4	4	3	4	3	4		3			0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0		3	1	0	0	0	1	0	1	0	0		0	1	3	1					1	0	0	1	1	0	0			5		4	3			2	1	
Impromat INT.	Zlín	1990	1	1	Velkoobchod s ostatními kancelářskými stroji a zařízením	s.r.o.	1	3	4	3		5	5	5	5	5	5	3	5	3		5	3		3		1		3		3		2		3		3	3		5		3		5	3		5		2		3		5					1		5	5	4	4	5	4	2	5	5	5	5	5	4	5	5	5	5		5	5	5	3	5			0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	produktivita	1	1	0	0	1	1	0	1	1	0		0	1	2	1	1	1	1	1	1	1	1	0	1	1	0		2	1	1	2	2	5	ekonomická krize	2	1	Mimořádné marketingové akce k podpoře prodeje, dočasná úspora, opatření v oblasti nákladů.
INA	Lanškroun-Žichlínské Předměstí 	1991	2	2	Výroba ložisek	s.r.o.	1	4	4	1		5	5	5	5	5	5	5	5		1			2			1		2		5		2			2		3		5			2			2			2			2						1		5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4			1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0		2	1	0	0	1	0	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	0	1		4	2	4	4	3			2	2	
Indet Safety Systems	Vsetín	1997	2	2	Výroba - pyrotechnické iniciátory, pinové nebo lankové gas generátory, aktuátory omezovače zatížení pro automobilový průmysl	a.s.	1	4	4	1		4	3	2	3	2	2	4	1	1		3	2		2	2		3	2		3		1			2							1		1		4	1		3		1						1		4	4	3	2	3	3	4	5	5	5	5	4	4	4	5	3	4	4	4	3	4	3	2			0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0		1	1	1	0	0	0	1	0	0	0		0	2	1	1	1	0	0	0	1	1	1	0	0	0	0		3	2	2	5	1	5	volatilita směnných kurzů 	2	1	větší důraz na produktivitu, zavedení TPS, interní úspory 
Ing. Alois Tománek	Boršice	1992	2	2	Šlechtění révy vinné	OSVČ	2	1	1	1	šlechtění	3	5	4	3	4	3	1	3	3		5		2			2		1		1		2			2		3		5			2			2			2			2			2			1		4	5	2	4	1	5	4	4	5	4	5	5	5	5	4	3	5	5	4	4	2	3	1			0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	1	0	0	0	0		0	2	1	0	0	0	0	0	0	1	0	0	0	0	0		3	1	1	5	3	5	počasí	1	2	
Ing. Jan Klápa - SAURIA	Prostějov	1991	2	2	výroba a prodej kožené konfekce	sdružení FO	2	2	1	1		3	5	2	2	2	3	2	3	2			2				1			1			1			1		2					2			1			2		3							1		5	4	3	3	2	4	3	5	4	5	4	3	5	3	3	3	4	3	4	4	5	3	5			1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0		1	1	0	0	0	0	0	0	1	0		0	3	3	0	0	1	1	0	0	1	0	0	0	0	0		4	4	2	3	1			2	2	
Ing. Josef Rosina - Rotrade	Uherský Brod	2006	3	3	Výroba ocelových konstrukcí	OSVČ	2	2	1	1		3	5	2	3	2	4	4	3	1		3	1		4		2			1			1		1		3		1				1			2			2			2						2		5	3	4	4	4	3	3	4	3	4	3	4	2	4	4	2	4	5	4	4	4	3	3			0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0		1	1	0	0	0	1	0	0	0	0		0	3	2	0	1	1	0	1	1	1	0	0	0	0	0		2	1	4	2	3			2	2	
Ing. Roman Jelínek, Ph.D.	Věžky	2007	3	3	poradenství, služby, velkoobchod	FO	2	1	1	2		4	5	4	3	4	2		4	2		3	1		3		1		2		4		2			2			2				2			2			2			2						3		5	5	4	5	4	5	5	5	5	4	4	5	5	5	4	4	5	5	5	4	4	4	3			0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	1	1	0	0	0	0		0	1	3	1	0	0	1	1	1	1	0	0	0	0	0		4	5	2	4	1			1	2	
Ing. Tomáš Dudr	Zlín	1993	2	2	Nástrojářství	OSVČ	2	2	1	1		4	3	4	2	3	4	3	2	1		3		1			1		1		4		1			1			1				1			1			1		1	1						3		4	4	3	4	3	3	4	4	4	4	5	5	4	3	3	4	4	3	4	4	4	4	3			0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0		1	0	0	0	0	0	0	0	1	0		0	1	3	1	0	0	0	1	1	0	0	1	0	0	0		2	3	3	4	1			2	2	
IPT	Kroměříž	1992	2	2	montáže a opravy energetických zařízení	s.r.o.	2	2	1	2		1	1	5	2		2	1	4	3				2			2			2			2			2			2				2			2			2			2						1		4	4	3	4	1	4	2	4	4	3	3	3		4	3	2	2	1	2	3	4	1	2			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		3	0	0	0	0	0	0	0	0	0		0	2	2							1	0	0	0	0	0		2	2	2	3	3			2	2	
J.A.P. Přerov	Přerov	1991	2	2	zámečnictví	s.r.o.	2	3	3	1		4	4	2	4	3	3		3	1		3		2			1			1			2			2			2				2			2			1		1		3					3		4	4	3	2		3	4	4	3	3	4	4	5	5	3	3	4	4	4	3	4	5	4			0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0		2	0	0	0	0	0	0	0	0	0		1	3	3	0	1	0	0	1	0	1	0	0	0	0	1	vlastní IS VAP	2	3	2	3	1	4	sezóna	1	1	
Jan Matuštík Termoplyn	Olomouc	1992	2	2	Plynoinstalace, projekční činnost, vodoinstalace, ústřední výtápení	FO	2	1	1	2		3	2	5	2	5	4	2	4	3							1																								1									5	4	3	5	1	2	2	5	4	4	4	5	4	4	4	4	4	4	3	2	4	3	3			0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0		3	0	0	0	0	0	0	0	0	0		1	3	3	0	0	1	1	1	1	1	0	0	0	0	0		3	2	2	5	3			2	1	
Jan Surý	Hošťálková 236	1999	2	2	Přibližování dřeva	FO	2	1	1	3		3	3	4	2	4	4		3		2			2			2			2			2			2			2				2			2			2			2			2			3		3	4	2	3	3	3	4	4	4	4	3	3	2	2	5	3	3	3	2	3	3	2	2			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		3	0	0	0	0	0	0	0	0	0		1	2	3	0	0	0	0	0	0	1	0	0	0	0	0		5	1	1	5	3			2	2	
Janošík - skupina firem	Valašské Příkazy	1991	2	2	Dřevovýroba	s.r.o.	2	3	3	3		4	4	4	3	2	4	1	2	2		3	2		3		1		3		3		2		1		1	3			ISO 9000:2001		2			2			1			2						1		5	5	5	5	3	3	4	5	5	5	5	5	2	2	5	5	2	5	4	4	4	3	3			0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0		1	1	0	0	1	0	0	1	0	0		0	3	3	0						1	0	0	0	0	0		1	1	1	5	4			2	2	
jfp Litovel	Litovel	2008	3	3	Instalace vody, odpadu, plynu, topení a kliamtizace	s.r.o.	2	2	1	2		1	3	5	3	5	4	2	3	1		3		2			2			2			2			2			2				2			2			2			2						3		4	5	3	4	2	3	3	4	4	4	4	5	5	4	3	3	4	3	4	3	5	2	1			0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		3	0	0	0	1	1	0	0	0	0		0	3	3	0	0	0	0	0	1	1	0	0	0	0	1	SIS	4	2	1	3	3			2	2	
Jihomoravská plynárenská	Brno	1840	1	1	Výroba a rozvod elektriky, plynu a vody	a.s.	1	4	4	1	energetika	5	4	3	3	4	5	3	4		2			2		2		3	2		3		2			2			2				2			2			2			2			2			1		4	4	5	5	4	5	4	3	3	3	5	4	4	4	2	2	2	1	3	4	4	2	3			1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0		1	1	0	0	1	0	0	0	1	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	SAP	5	1	1	2	3			2	2	
JIP - Papírny Větřní, a. s. 	Větřní	1992	2	2	171200	a.s.	2	4	4	1		5	5	5	5	5	5	5	5	3		4	3		5		2		3		5		2		1		3	1	2	1			2			2			2			2		1		5	Kaizen (krátk.) , systematické zlepšování (dlouh.)	1		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	čistý pracovní kapitál (WC)	2	0	1	0	1	0	1	0	0	0		0	1	3	0	0	0	0	1	1	1	1	0	1	0	0		1	3	3	5	1			1	2	
JITONA	Soběslav	1951	1	1	výroba nábytku	a.s.	2	4	4	1		4	3	4	4	4	5	3	3	3		3	3		4		2		3		4		2			2			2			3		2		2			2			2			2			1		4	5	3	4	5	3	5	4	4	4	4	5	5	4	4	4	4	5	5	5	5	5	4			1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0		2	0	1	0	1	0	0	0	0	0		0	1	3	0	1	1	1	0	1	0	0	0	1	0	0		3	1	1	2	1			1	1	
